index,time,uuid,rssi
55,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-48
56,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-50
58,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-52
59,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-53
60,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-48
61,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-48
62,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-46
63,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-54
65,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-46
66,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-53
67,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-53
68,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-54
69,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-62
70,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-57
71,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-51
72,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-53
73,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-54
74,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-52
75,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-50
76,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-55
77,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-58
78,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-62
79,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-49
80,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-60
81,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-59
82,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-50
83,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-52
84,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-52
85,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-70
86,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-59
87,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-60
88,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-60
90,1626945011,00021592-a7d5-0268-024f-0b9ab687c246,-50
91,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-49
92,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-52
93,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-52
94,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-59
96,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-50
97,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-60
98,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-57
99,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-56
100,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-51
101,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-52
103,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-57
104,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-59
105,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-60
106,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-49
107,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-49
108,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-60
109,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-61
110,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-57
111,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-58
112,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-52
113,1626945012,00021592-a7d5-0268-024f-0b9ab687c246,-52
115,1626945013,00021592-a7d5-0268-024f-0b9ab687c246,-56
116,1626945013,00021592-a7d5-0268-024f-0b9ab687c246,-56
117,1626945013,00021592-a7d5-0268-024f-0b9ab687c246,-50
118,1626945013,00021592-a7d5-0268-024f-0b9ab687c246,-56
119,1626945013,00021592-a7d5-0268-024f-0b9ab687c246,-62
120,1626945013,00021592-a7d5-0268-024f-0b9ab687c246,-59
121,1626945013,00021592-a7d5-0268-024f-0b9ab687c246,-62
